"FUENTE"|"FECHA"|"PI_NCF"|"PI_NOMBRE"|"PI_RNC"|"PI_TOTAL"|"PI_EXONERACION"|"PI_PCT_LEY"|"PI_IVA"|"MONTO"
"PATEPALO"|20180301|"-"|"-"|"-"|5786.39|" -   "|452.06|813.71|4520.62
"PATEPALO"|20180301|"-"|"-"|"-"|4739.20|" -   "|370.25|666.45|3702.50
"PATEPALO"|20180301|"-"|"-"|"-"|8310.73|" -   "|649.28|1168.70|6492.75
"PATEPALO"|20180301|"-"|"-"|"-"|3724.80|" -   "|291.00|523.80|2910.00
"PATEPALO"|20180301|"-"|"-"|"-"|7040.00|" -   "|550.00|990.00|5500.00
"PATEPALO"|20180301|"-"|"-"|"-"|3718.40|" -   "|290.50|522.90|2905.00
"PATEPALO"|20180301|"-"|"-"|"-"|730.39|" -   "|57.06|102.71|570.62
"PATEPALO"|20180301|"-"|"-"|"-"|5868.80|" -   "|458.50|825.30|4585.00
"PATEPALO"|20180302|"-"|"-"|"-"|4858.00|" -   "|379.53|683.16|3795.31
"PATEPALO"|20180302|"-"|"-"|"-"|1900.80|" -   "|148.50|267.30|1485.00
"PATEPALO"|20180302|"-"|"-"|"-"|1913.60|" -   "|149.50|269.10|1495.00
"PATEPALO"|20180302|"-"|"-"|"-"|7059.20|" -   "|551.50|992.70|5515.00
"PATEPALO"|20180302|"-"|"-"|"-"|5273.60|" -   "|412.00|741.60|4120.00
"PATEPALO"|20180302|"-"|"-"|"-"|1914.88|" -   "|149.60|269.28|1496.00
"PATEPALO"|20180302|"-"|"-"|"-"|1177.60|" -   "|92.00|165.60|920.00
"PATEPALO"|20180302|"-"|"-"|"-"|1785.60|" -   "|139.50|251.10|1395.00
"PATEPALO"|20180302|"-"|"-"|"-"|4006.80|" -   "|313.03|563.46|3130.31
"PATEPALO"|20180302|"-"|"-"|"-"|3361.32|" -   "|262.60|472.69|2626.03
"PATEPALO"|20180302|"-"|"-"|"-"|3116.80|" -   "|243.50|438.30|2435.00
"PATEPALO"|20180302|"-"|"-"|"-"|5753.60|" -   "|449.50|809.10|4495.00
"PATEPALO"|20180302|"-"|"-"|"-"|1787.03|" -   "|139.61|251.30|1396.12
"PATEPALO"|20180302|"-"|"-"|"-"|5166.38|" -   "|403.62|726.52|4036.24
"PATEPALO"|20180302|"-"|"-"|"-"|7297.19|" -   "|570.09|1026.17|5700.93
"PATEPALO"|20180302|"-"|"-"|"-"|371.20|" -   "|29.00|52.20|290.00
"PATEPALO"|20180302|"-"|"-"|"-"|9644.93|" -   "|753.51|1356.32|7535.10
"PATEPALO"|20180302|"-"|"-"|"-"|7110.80|" -   "|555.53|999.96|5555.31
"PATEPALO"|20180302|"-"|"-"|"-"|16698.79|" -   "|1304.59|2348.27|13045.93
"PATEPALO"|20180302|"-"|"-"|"-"|1872.00|" -   "|146.25|263.25|1462.50
"PATEPALO"|20180302|"-"|"-"|"-"|10080.92|" -   "|787.57|1417.63|7875.72
"PATEPALO"|20180302|"-"|"-"|"-"|7859.20|" -   "|614.00|1105.20|6140.00
"PATEPALO"|20180302|"-"|"-"|"-"|5748.78|" -   "|449.12|808.42|4491.24
"PATEPALO"|20180302|"-"|"-"|"-"|1977.60|" -   "|154.50|278.10|1545.00
"PATEPALO"|20180302|"-"|"-"|"-"|2727.19|" -   "|213.06|383.51|2130.62
"PATEPALO"|20180302|"-"|"-"|"-"|4736.79|" -   "|370.06|666.11|3700.62
"PATEPALO"|20180302|"-"|"-"|"-"|2528.00|" -   "|197.50|355.50|1975.00
"PATEPALO"|20180302|"-"|"-"|"-"|3373.20|" -   "|263.53|474.36|2635.31
"PATEPALO"|20180302|"-"|"-"|"-"|5260.80|" -   "|411.00|739.80|4110.00
"PATEPALO"|20180302|"-"|"-"|"-"|2681.60|" -   "|209.50|377.10|2095.00
"PATEPALO"|20180302|"-"|"-"|"-"|7078.40|" -   "|553.00|995.40|5530.00
"PATEPALO"|20180302|"-"|"-"|"-"|3187.20|" -   "|249.00|448.20|2490.00
"PATEPALO"|20180302|"-"|"-"|"-"|4435.20|" -   "|346.50|623.70|3465.00
"PATEPALO"|20180302|"-"|"-"|"-"|2656.00|" -   "|207.50|373.50|2075.00
