,FUENTE,FECHA,PI_NCF,PI_NOMBRE,PI_RNC,PI_TOTAL,PI_EXONERACION,PI_PCT_LEY,PI_IVA,MONTO,MG_RNC,MG_NUMERO,MG_IMPUESTO,CHCK_1,DIFF
43,PATEPALO,20180306,-,-,-,"8,460.80", -   ,661.00,"1,189.80","6,610.00",0,A010010010200008763,"1,189.80","6,610.00",0
44,PATEPALO,20180306,-,-,-,"6,003.20", -   ,469.00,844.20,"4,690.00",131595197,A010010010100029726,844.20,"4,690.00",0
45,PATEPALO,20180306,-,-,-,"2,202.00", -   ,172.03,309.66,"1,720.31",0,A010010010200008767,309.66,"1,720.31",0
46,PATEPALO,20180306,-,-,-,"4,999.19", -   ,390.56,703.01,"3,905.62",0,A010010010200008766,703.01,"3,905.62",0
47,PATEPALO,20180306,-,-,-,"8,800.00", -   ,687.50,"1,237.50","6,875.00",101050756,A010010010100029728,"1,237.50","6,875.00",0
48,PATEPALO,20180307,-,-,-,"6,432.00", -   ,502.50,904.50,"5,025.00",131487939,A010010010100029736,904.50,"5,025.00",0
49,PATEPALO,20180307,-,-,-,"11,091.20", -   ,866.50,"1,559.70","8,665.00",124001481,A010010010100029733,"1,559.70","8,665.00",0
50,PATEPALO,20180307,-,-,-,"2,336.00", -   ,182.50,328.50,"1,825.00",0,A010010010200008773,328.50,"1,825.00",0
51,PATEPALO,20180307,-,-,-,"11,833.60", -   ,924.50,"1,664.10","9,245.00",0,A010010010200008774,"1,664.10","9,245.00",0
52,PATEPALO,20180307,-,-,-,"1,395.20", -   ,109.00,196.20,"1,090.00",0,A010010010200008776,196.20,"1,090.00",0
53,PATEPALO,20180307,-,-,-,"3,129.60", -   ,244.50,440.10,"2,445.00",0,A010010010200008779,440.10,"2,445.00",0
54,PATEPALO,20180307,-,-,-,"1,529.60", -   ,119.50,215.10,"1,195.00",0,A010010010200008777,215.10,"1,195.00",0
55,PATEPALO,20180307,-,-,-,"13,369.60", -   ,"1,044.50","1,880.10","10,445.00",130078955,A010010010100029738,"1,880.10","10,445.00",0
56,PATEPALO,20180307,-,-,-,"4,761.60", -   ,372.00,669.60,"3,720.00",100828748,A010010010100029739,669.60,"3,720.00",0
57,PATEPALO,20180307,-,-,-,"18,617.60", -   ,"1,454.50","2,618.10","14,545.00",101008431,A010010010100029740,"2,618.10","14,545.00",0
58,PATEPALO,20180307,-,-,-,"9,971.20", -   ,779.00,"1,402.20","7,790.00",101012439,A010010010100029741,"1,402.20","7,790.00",0
59,PATEPALO,20180308,-,-,-,"3,872.00", -   ,302.50,544.50,"3,025.00",0,A010010010200008782,544.50,"3,025.00",0
60,PATEPALO,20180308,-,-,-,"11,522.38", -   ,900.19,"1,620.33","9,001.86",430243477,A010010010100029744,"1,620.33","9,001.86",0
61,PATEPALO,20180308,-,-,-,"8,409.60", -   ,657.00,"1,182.60","6,570.00",131606814,A010010010100029745,"1,182.60","6,570.00",0
62,PATEPALO,20180308,-,-,-,"10,828.80", -   ,846.00,"1,522.80","8,460.00",101136792,A010010010100029746,"1,522.80","8,460.00",0
63,PATEPALO,20180308,-,-,-,"9,850.12", -   ,769.54,"1,385.17","7,695.41",401513919,A010010010100029748,"1,385.17","7,695.41",0
64,PATEPALO,20180308,-,-,-,"1,388.80", -   ,108.50,195.30,"1,085.00",131009141,A010010010100029747,195.30,"1,085.00",0
65,PATEPALO,20180308,-,-,-,"1,222.40", -   ,95.50,171.90,955.00,123000545,A010010010100029749,171.90,955.00,0
66,PATEPALO,20180308,-,-,-,"6,223.98", -   ,486.25,875.25,"4,862.48",101023864,A010010010100029750,875.25,"4,862.48",0
67,PATEPALO,20180308,-,-,-,"2,121.81", -   ,165.77,298.38,"1,657.66",0,A010010010200208783,298.38,"1,657.66",0
68,PATEPALO,20180308,-,-,-,"8,032.00", -   ,627.50,"1,129.50","6,275.00",101127432,A010010010100029754,"1,129.50","6,275.00",0
69,PATEPALO,20180308,-,-,-,"27,501.59", -   ,"2,148.56","3,867.41","21,485.62",101601132,A010010010100029752,"3,867.41","21,485.62",0
70,PATEPALO,20180308,-,-,-,"4,473.60", -   ,349.50,629.10,"3,495.00",102456704,A010010010100029755,629.10,"3,495.00",0
71,PATEPALO,20180308,-,-,-,"5,249.19", -   ,410.09,738.17,"4,100.93",116135203,A010010010100029753,738.17,"4,100.93",0
72,PATEPALO,20180308,-,-,-,"12,780.93", -   ,998.51,"1,797.32","9,985.10",101527692,A010010010100029757,"1,797.32","9,985.10",0
73,PATEPALO,20180308,-,-,-,"10,138.00", -   ,792.03,"1,425.66","7,920.31",101752963,A010010010100029756,"1,425.66","7,920.31",0
74,PATEPALO,20180308,-,-,-,"1,062.40", -   ,83.00,149.40,830.00,124013046,A010010010100029758,149.40,830.00,0
75,PATEPALO,20180308,-,-,-,"1,721.60", -   ,134.50,242.10,"1,345.00",124013046,A010010010100029759,242.10,"1,345.00",0
76,PATEPALO,20180308,-,-,-,"42,736.64", -   ,"3,338.80","6,009.84","33,388.00",101015162,A010010010100029751,"6,009.84","33,388.00",0
77,PATEPALO,20180309,-,-,-,"38,214.40", -   ,"2,985.50","5,373.90","29,855.00",430044857,A010010011500000644,"5,373.90","29,855.00",0
78,PATEPALO,20180309,-,-,-,"5,907.99", -   ,461.56,830.81,"4,615.62",0,A010010010200208785,830.81,"4,615.62",0
79,PATEPALO,20180309,-,-,-,"5,683.99", -   ,444.06,799.31,"4,440.62",131590659,A010010010100029763,799.31,"4,440.62",0
80,PATEPALO,20180309,-,-,-,"4,512.00", -   ,352.50,634.50,"3,525.00",130024863,A010010010100029764,634.50,"3,525.00",0
81,PATEPALO,20180309,-,-,-,"4,614.40", -   ,360.50,648.90,"3,605.00",130107092,A010010010100029765,648.90,"3,605.00",0
82,PATEPALO,20180309,-,-,-,"2,221.59", -   ,173.56,312.41,"1,735.62",0,A010010010200208786,312.41,"1,735.62",0
83,PATEPALO,20180309,-,-,-,"1,999.98", -   ,156.25,281.25,"1,562.48",0,A010010010200208787,281.25,"1,562.48",0
84,PATEPALO,20180309,-,-,-,"7,641.60", -   ,597.00,"1,074.60","5,970.00",101891351,A010010010100029766,"1,074.60","5,970.00",0
85,PATEPALO,20180309,-,-,-,"9,894.40", -   ,773.00,"1,391.40","7,730.00",0,A010010010200208789,"1,391.40","7,730.00",0
86,PATEPALO,20180309,-,-,-,"2,668.80", -   ,208.50,375.30,"2,085.00",0,A010010010200208788,375.30,"2,085.00",0
87,PATEPALO,20180309,-,-,-,326.40, -   ,25.50,45.90,255.00,0,A010010010200208791,45.90,255.00,0
88,PATEPALO,20180309,-,-,-,"4,780.80", -   ,373.50,672.30,"3,735.00",0,A010010010200208792,672.30,"3,735.00",0
89,PATEPALO,20180309,-,-,-,"5,676.80", -   ,443.50,798.30,"4,435.00",0,A010010010200208793,798.30,"4,435.00",0
90,PATEPALO,20180309,-,-,-,"3,513.60", -   ,274.50,494.10,"2,745.00",131166172,A010010010100029767,494.10,"2,745.00",0
91,PATEPALO,20180309,-,-,-,"3,584.00", -   ,280.00,504.00,"2,800.00",0,A010010010200208794,504.00,"2,800.00",0
92,PATEPALO,20180309,-,-,-,"2,899.20", -   ,226.50,407.70,"2,265.00",0,A010010010200208795,407.70,"2,265.00",0
93,PATEPALO,20180309,-,-,-,"3,111.19", -   ,243.06,437.51,"2,430.62",0,A010010010200208796,437.51,"2,430.62",0
94,PATEPALO,20180309,-,-,-,"7,169.19", -   ,560.09,"1,008.17","5,600.93",0,A010010010200208797,"1,008.17","5,600.93",0
95,PATEPALO,20180309,-,-,-,"6,272.79", -   ,490.06,882.11,"4,900.62",0,A010010010200208798,882.11,"4,900.62",0
96,PATEPALO,20180309,-,-,-,"6,060.80", -   ,473.50,852.30,"4,735.00",0,A010010010200208799,852.30,"4,735.00",0
97,PATEPALO,20180309,-,-,-,"2,995.99", -   ,234.06,421.31,"2,340.62",0,A010010010200208800,421.31,"2,340.62",0
98,PATEPALO,20180309,-,-,-,"4,345.60", -   ,339.50,611.10,"3,395.00",0,A010010010200208801,611.10,"3,395.00",0
99,PATEPALO,20180309,-,-,-,"3,904.79", -   ,305.06,549.11,"3,050.62",0,A010010010200208803,549.11,"3,050.62",0
100,PATEPALO,20180309,-,-,-,"2,163.20", -   ,169.00,304.20,"1,690.00",0,A010010010200208802,304.20,"1,690.00",0
101,PATEPALO,20180309,-,-,-,"10,419.99", -   ,814.06,"1,465.31","8,140.62",0,A010010010200208804,"1,465.31","8,140.62",0
102,PATEPALO,20180309,-,-,-,896.00, -   ,70.00,126.00,700.00,0,A010010010200208806,126.00,700.00,0
103,PATEPALO,20180309,-,-,-,"10,201.60", -   ,797.00,"1,434.60","7,970.00",124028663,A010010010100029769,"1,434.60","7,970.00",0
104,PATEPALO,20180309,-,-,-,"3,699.20", -   ,289.00,520.20,"2,890.00",0,A010010010200208807,520.20,"2,890.00",0
105,PATEPALO,20180309,-,-,-,"10,298.00", -   ,804.53,"1,448.16","8,045.31",0,A010010010200208808,"1,448.16","8,045.31",0
106,PATEPALO,20180309,-,-,-,"7,724.80", -   ,603.50,"1,086.30","6,035.00",0,A010010010200208809,"1,086.30","6,035.00",0
107,PATEPALO,20180309,-,-,-,"5,561.60", -   ,434.50,782.10,"4,345.00",0,A010010010200208810,782.10,"4,345.00",0
108,PATEPALO,20180309,-,-,-,"5,388.80", -   ,421.00,757.80,"4,210.00",0,A010010010200208811,757.80,"4,210.00",0
109,PATEPALO,20180309,-,-,-,"4,448.00", -   ,347.50,625.50,"3,475.00",0,A010010010200208812,625.50,"3,475.00",0
110,PATEPALO,20180309,-,-,-,"1,798.80", -   ,140.53,252.96,"1,405.31",0,A010010010200208813,252.96,"1,405.31",0
111,PATEPALO,20180309,-,-,-,"28,709.26", -   ,"2,242.91","4,037.24","22,429.11",0,A010010010200208805,"4,037.24","22,429.11",0
112,PATEPALO,20180309,-,-,-,"9,798.40", -   ,765.50,"1,377.90","7,655.00",130359164,A010010010100029770,"1,377.90","7,655.00",0
113,PATEPALO,20180309,-,-,-,"7,514.00", -   ,587.03,"1,056.66","5,870.31",0,A010010010200208815,"1,056.66","5,870.31",0
114,PATEPALO,20180309,-,-,-,"6,195.20", -   ,484.00,871.20,"4,840.00",0,A010010010200208814,871.20,"4,840.00",0
115,PATEPALO,20180309,-,-,-,"10,445.20", -   ,816.03,"1,468.86","8,160.31",101638982,A010010010100029771,"1,468.86","8,160.31",0
116,PATEPALO,20180309,-,-,-,"4,000.00", -   ,312.50,562.50,"3,125.00",0,A010010010200208816,562.50,"3,125.00",0
117,PATEPALO,20180309,-,-,-,"2,169.60", -   ,169.50,305.10,"1,695.00",0,A010010010200208818,305.10,"1,695.00",0
118,PATEPALO,20180309,-,-,-,"11,610.24", -   ,907.05,"1,632.69","9,070.50",0,A010010010200208817,"1,632.69","9,070.50",0
119,PATEPALO,20180309,-,-,-,"6,311.19", -   ,493.06,887.51,"4,930.62",0,A010010010200208820,887.51,"4,930.62",0
120,PATEPALO,20180309,-,-,-,"1,350.40", -   ,105.50,189.90,"1,055.00",0,A010010010200208821,189.90,"1,055.00",0
121,PATEPALO,20180309,-,-,-,"7,725.06", -   ,603.52,"1,086.34","6,035.20",0,A010010010200208822,"1,086.34","6,035.20",0
122,PATEPALO,20180309,-,-,-,"3,155.20", -   ,246.50,443.70,"2,465.00",130787174,A010010010100029772,443.70,"2,465.00",0
123,PATEPALO,20180309,-,-,-,"6,156.80", -   ,481.00,865.80,"4,810.00",0,A010010010200208819,865.80,"4,810.00",0
124,PATEPALO,20180309,-,-,-,"7,840.00", -   ,612.50,"1,102.50","6,125.00",0,A010010010200208823,"1,102.50","6,125.00",0
125,PATEPALO,20180309,-,-,-,"3,296.13", -   ,257.51,463.52,"2,575.10",0,A010010010200208824,463.52,"2,575.10",0
126,PATEPALO,20180309,-,-,-,"17,299.99", -   ,"1,351.56","2,432.81","13,515.62",0,A010010010200208826,"2,432.81","13,515.62",0
127,PATEPALO,20180309,-,-,-,"2,355.20", -   ,184.00,331.20,"1,840.00",0,A010010010200208825,331.20,"1,840.00",0
128,PATEPALO,20180310,-,-,-,"8,819.20", -   ,689.00,"1,240.20","6,890.00",0,A010010010200208829,"1,240.20","6,890.00",0
129,PATEPALO,20180310,-,-,-,"15,270.80", -   ,"1,193.03","2,147.46","11,930.31",0,A010010010200208830,"2,147.46","11,930.31",0
130,PATEPALO,20180310,-,-,-,"9,971.20", -   ,779.00,"1,402.20","7,790.00",0,A010010010200208831,"1,402.20","7,790.00",0
131,PATEPALO,20180310,-,-,-,"3,557.76", -   ,277.95,500.31,"2,779.50",0,A010010010200208832,500.31,"2,779.50",0
132,PATEPALO,20180310,-,-,-,"5,926.40", -   ,463.00,833.40,"4,630.00",0,A010010010200208833,833.40,"4,630.00",0
133,PATEPALO,20180310,-,-,-,"6,188.80", -   ,483.50,870.30,"4,835.00",0,A010010010200208834,870.30,"4,835.00",0
134,PATEPALO,20180310,-,-,-,"4,763.98", -   ,372.19,669.93,"3,721.86",0,A010010010200208835,669.93,"3,721.86",0
135,PATEPALO,20180310,-,-,-,"9,395.99", -   ,734.06,"1,321.31","7,340.62",0,A010010010200208836,"1,321.31","7,340.62",0
136,PATEPALO,20180310,-,-,-,"4,782.08", -   ,373.60,672.48,"3,736.00",0,A010010010200208837,672.48,"3,736.00",0
137,PATEPALO,20180310,-,-,-,"2,179.20", -   ,170.25,306.45,"1,702.50",0,A010010010200208839,306.45,"1,702.50",0
138,PATEPALO,20180310,-,-,-,"7,110.40", -   ,555.50,999.90,"5,555.00",0,A010010010200208840,999.90,"5,555.00",0
139,PATEPALO,20180310,-,-,-,"6,932.48", -   ,541.60,974.88,"5,416.00",0,A010010010200208841,974.88,"5,416.00",0
140,PATEPALO,20180310,-,-,-,"2,265.60", -   ,177.00,318.60,"1,770.00",0,A010010010200208842,318.60,"1,770.00",0
141,PATEPALO,20180310,-,-,-,"3,930.79", -   ,307.09,552.77,"3,070.93",0,A010010010200208843,552.77,"3,070.93",0
142,PATEPALO,20180310,-,-,-,"9,088.00", -   ,710.00,"1,278.00","7,100.00",0,A010010010200208852,"1,278.00","7,100.00",0
143,PATEPALO,20180310,-,-,-,"5,522.56", -   ,431.45,776.61,"4,314.50",0,A010010010200208844,776.61,"4,314.50",0
144,PATEPALO,20180310,-,-,-,"22,464.00", -   ,"1,755.00","3,159.00","17,550.00",0,A010010010200208845,"3,159.00","17,550.00",0
145,PATEPALO,20180310,-,-,-,"1,376.00", -   ,107.50,193.50,"1,075.00",0,A010010010200208846,193.50,"1,075.00",0
146,PATEPALO,20180310,-,-,-,"3,104.00", -   ,242.50,436.50,"2,425.00",0,A010010010200208847,436.50,"2,425.00",0
147,PATEPALO,20180310,-,-,-,"5,069.20", -   ,396.03,712.86,"3,960.31",0,A010010010200208838,712.86,"3,960.31",0
148,PATEPALO,20180310,-,-,-,"5,427.72", -   ,424.04,763.27,"4,240.41",130034397,A010010010100029779,763.27,"4,240.41",0
149,PATEPALO,20180310,-,-,-,"21,754.39", -   ,"1,699.56","3,059.21","16,995.62",131249051,A010010010100029778,"3,059.21","16,995.62",0
150,PATEPALO,20180310,-,-,-,"13,555.33", -   ,"1,059.01","1,906.22","10,590.10",131498604,A010010010100029776,"1,906.22","10,590.10",0
151,PATEPALO,20180310,-,-,-,819.20, -   ,64.00,115.20,640.00,0,A010010010200208848,115.20,640.00,0
152,PATEPALO,20180310,-,-,-,"12,588.80", -   ,983.50,"1,770.30","9,835.00",0,A010010010200208849,"1,770.30","9,835.00",0
153,PATEPALO,20180310,-,-,-,316.80, -   ,24.75,44.55,247.50,0,A010010010200208850,44.55,247.50,0
154,PATEPALO,20180310,-,-,-,316.80, -   ,24.75,44.55,247.50,0,A010010010200208850,44.55,247.50,0
155,PATEPALO,20180310,-,-,-,684.80, -   ,53.50,96.30,535.00,0,A010010010200208851,96.30,535.00,0
156,PATEPALO,20180310,-,-,-,"9,324.80", -   ,728.50,"1,311.30","7,285.00",0,A010010010200208853,"1,311.30","7,285.00",0
157,PATEPALO,20180310,-,-,-,"4,473.86", -   ,349.52,629.14,"3,495.20",0,A010010010200208854,629.14,"3,495.20",0
158,PATEPALO,20180310,-,-,-,"1,062.40", -   ,83.00,149.40,830.00,0,A010010010200208855,149.40,830.00,0
159,PATEPALO,20180310,-,-,-,499.99, -   ,39.06,70.31,390.62,0,A010010010200208856,70.31,390.62,0
160,PATEPALO,20180310,-,-,-,499.99, -   ,39.06,70.31,390.62,0,A010010010200208867,70.31,390.62,0
161,PATEPALO,20180310,-,-,-,499.99, -   ,39.06,70.31,390.62,0,A010010010200208877,70.31,390.62,0
162,PATEPALO,20180310,-,-,-,499.99, -   ,39.06,70.31,390.62,0,A010010010200208856,70.31,390.62,0
163,PATEPALO,20180310,-,-,-,499.99, -   ,39.06,70.31,390.62,0,A010010010200208867,70.31,390.62,0
164,PATEPALO,20180310,-,-,-,499.99, -   ,39.06,70.31,390.62,0,A010010010200208877,70.31,390.62,0
165,PATEPALO,20180310,-,-,-,499.99, -   ,39.06,70.31,390.62,0,A010010010200208856,70.31,390.62,0
166,PATEPALO,20180310,-,-,-,499.99, -   ,39.06,70.31,390.62,0,A010010010200208867,70.31,390.62,0
167,PATEPALO,20180310,-,-,-,499.99, -   ,39.06,70.31,390.62,0,A010010010200208877,70.31,390.62,0
168,PATEPALO,20180310,-,-,-,89.60, -   ,7.00,12.60,70.00,0,A010010010200208857,12.60,70.00,0
169,PATEPALO,20180310,-,-,-,"1,728.00", -   ,135.00,243.00,"1,350.00",0,A010010010200208858,243.00,"1,350.00",0
170,PATEPALO,20180310,-,-,-,"9,216.13", -   ,720.01,"1,296.02","7,200.10",0,A010010010200208859,"1,296.02","7,200.10",0
171,PATEPALO,20180310,-,-,-,"6,445.59", -   ,503.56,906.41,"5,035.62",130810109,A010010010100029780,906.41,"5,035.62",0
172,PATEPALO,20180310,-,-,-,"2,700.80", -   ,211.00,379.80,"2,110.00",0,A010010010200208860,379.80,"2,110.00",0
173,PATEPALO,20180310,-,-,-,"11,769.60", -   ,919.50,"1,655.10","9,195.00",0,A010010010200208861,"1,655.10","9,195.00",0
174,PATEPALO,20180310,-,-,-,"3,859.60", -   ,301.53,542.76,"3,015.31",0,A010010010200208862,542.76,"3,015.31",0
175,PATEPALO,20180310,-,-,-,"7,338.37", -   ,573.31,"1,031.96","5,733.10",0,A010010010200208866,"1,031.96","5,733.10",0
176,PATEPALO,20180310,-,-,-,"9,472.00", -   ,740.00,"1,332.00","7,400.00",0,A010010010200208863,"1,332.00","7,400.00",0
177,PATEPALO,20180310,-,-,-,"1,645.20", -   ,128.53,231.36,"1,285.31",0,A010010010200208865,231.36,"1,285.31",0
178,PATEPALO,20180310,-,-,-,"2,560.00", -   ,200.00,360.00,"2,000.00",0,A010010010200208864,360.00,"2,000.00",0
179,PATEPALO,20180310,-,-,-,"1,459.60", -   ,114.03,205.26,"1,140.31",0,A010010010200208883,205.26,"1,140.31",0
180,PATEPALO,20180310,-,-,-,"2,969.60", -   ,232.00,417.60,"2,320.00",131153402,A010010010100029781,417.60,"2,320.00",0
181,PATEPALO,20180310,-,-,-,"15,055.18", -   ,"1,176.19","2,117.13","11,761.86",0,A010010010200208868,"2,117.13","11,761.86",0
182,PATEPALO,20180310,-,-,-,"8,979.20", -   ,701.50,"1,262.70","7,015.00",0,A010010010200208869,"1,262.70","7,015.00",0
183,PATEPALO,20180310,-,-,-,"15,712.00", -   ,"1,227.50","2,209.50","12,275.00",0,A010010010200208870,"2,209.50","12,275.00",0
184,PATEPALO,20180310,-,-,-,"2,279.19", -   ,178.06,320.51,"1,780.62",0,A010010010200208884,320.51,"1,780.62",0
185,PATEPALO,20180310,-,-,-,"1,395.20", -   ,109.00,196.20,"1,090.00",0,A010010010200208871,196.20,"1,090.00",0
186,PATEPALO,20180310,-,-,-,"1,414.40", -   ,110.50,198.90,"1,105.00",0,A010010010200208872,198.90,"1,105.00",0
187,PATEPALO,20180310,-,-,-,"3,264.40", -   ,255.03,459.06,"2,550.31",0,A010010010200208882,459.06,"2,550.31",0
188,PATEPALO,20180310,-,-,-,"3,053.59", -   ,238.56,429.41,"2,385.62",0,A010010010200208881,429.41,"2,385.62",0
189,PATEPALO,20180310,-,-,-,"1,920.00", -   ,150.00,270.00,"1,500.00",0,A010010010200208873,270.00,"1,500.00",0
190,PATEPALO,20180310,-,-,-,486.40, -   ,38.00,68.40,380.00,0,A010010010200208879,68.40,380.00,0
